Order_ID,Distributor_ID,Product_ID,Order_Date,Quantity_Ordered,Discount%_Applied,Unit_Price
B2B000001,D0056,P0033,04-09-2023,31,0.12,36.8544
B2B000002,D0094,P0017,15-03-2023,70,0.17,132.0364
B2B000003,D0025,P0014,25-04-2024,13,0.13,99.2235
B2B000004,D0043,P0021,25-07-2023,76,0.15,263.3385
B2B000005,D0079,P0039,21-04-2024,29,0.11,307.2903
B2B000006,D0048,P0042,12-02-2024,45,0,252.64
B2B000007,D0024,P0048,23-12-2023,69,0.02,259.5334
B2B000008,D0033,P0009,09-03-2024,40,0.17,252.7765
B2B000009,D0076,P0048,17-03-2024,78,0.13,230.4021
B2B000010,D0033,P0022,18-01-2023,61,0.03,75.9995
B2B000011,D0055,P0044,17-05-2023,41,0.19,369.0117
B2B000012,D0061,P0036,31-03-2023,53,0.15,345.1935
B2B000013,D0089,P0042,03-06-2023,11,0.14,217.2704
B2B000013,D0089,P0022,03-06-2023,11,0.14,217.2704
B2B000013,D0089,P0022,03-06-2023,11,0.14,217.2704
B2B000014,D0099,P0022,23-08-2023,17,0.05,74.4325
B2B000015,D0064,P0005,02-07-2024,95,0.04,82.992
B2B000016,D0043,P0049,01-07-2024,28,0.18,227.8698
B2B000017,D0047,P0039,08-03-2023,28,0.02,338.3646
B2B000018,D0067,P0045,13-06-2024,90,0.13,119.016
B2B000019,D0035,P0016,29-04-2024,87,0.13,86.8869
B2B000020,D0088,P0015,20-06-2024,43,0.06,93.1446
B2B000021,D0012,P0013,10-04-2023,21,0.18,342.678
B2B000022,D0078,P0036,07-05-2023,36,0.03,393.9267
B2B000023,D0039,P0003,11-04-2024,76,0.14,317.0648
B2B000024,D0021,P0041,16-02-2024,94,0.18,57.236
B2B000025,D0031,P0018,01-08-2023,89,0.1,240.417
B2B000026,D0095,P0024,12-02-2023,36,0.11,168.6728
B2B000027,D0007,P0009,24-07-2023,56,0.15,258.8675
B2B000028,D0018,P0018,04-01-2023,32,0.14,229.7318
B2B000029,D0074,P0047,30-01-2024,26,0.02,159.4852
B2B000030,D0029,P0028,29-02-2024,35,0.04,251.4912
B2B000031,D0053,P0049,07-06-2023,42,0.13,241.7643
B2B000032,D0031,P0002,15-04-2023,19,0.18,390.197
B2B000033,D0092,P0003,03-11-2023,40,0.19,298.6308
B2B000034,D0089,P0018,15-04-2024,42,0.09,243.0883
B2B000035,D0033,P0046,20-03-2024,75,0.06,314.5616
B2B000036,D0079,P0016,15-08-2023,92,0.12,87.8856
B2B000037,D0054,P0035,04-08-2023,75,0.14,415.5176
B2B000038,D0064,P0017,24-09-2023,58,0.2,127.264
B2B000039,D0011,P0035,04-11-2023,55,0.04,463.8336
B2B000040,D0099,P0005,03-01-2023,86,0.19,70.0245
B2B000041,D0045,P0002,23-01-2023,12,0.06,447.299
B2B000042,D0028,P0025,15-01-2023,27,0.01,231.1353
B2B000043,D0063,P0007,25-08-2023,50,0.14,33.0756
B2B000044,D0085,P0011,19-12-2023,38,0.12,17.6792
B2B000045,D0068,P0040,08-05-2023,44,0.18,185.0494
B2B000046,D0054,P0030,15-01-2024,32,0.2,26.208
B2B000047,D0028,P0002,09-01-2024,28,0.13,413.9895
B2B000048,D0097,P0029,29-05-2024,81,0.19,243.2268
B2B000049,D0100,P0050,28-03-2023,42,0.02,98.5684
B2B000050,D0029,P0026,10-05-2024,67,0.14,339.4764
B2B000051,D0055,P0013,23-03-2023,96,0.15,355.215
B2B000052,D0031,P0048,12-12-2023,97,0.04,254.2368
B2B000053,D0050,P0045,28-04-2024,18,0.01,135.432
B2B000054,D0031,P0033,20-04-2024,73,0.08,38.5296
B2B000055,D0053,P0042,06-07-2023,44,0.07,234.9552
B2B000056,D0017,P0050,12-01-2023,53,0.17,83.4814
B2B000057,D0056,P0040,01-02-2023,72,0.13,196.3329
B2B000058,D0032,P0008,27-05-2023,81,0.03,421.3971
B2B000059,D0040,P0009,07-12-2023,23,0.09,277.1405
B2B000060,D0010,P0037,17-04-2023,58,0.2,127.408
B2B000061,D0014,P0041,28-04-2024,52,0.12,61.424
B2B000062,D0050,P0031,19-12-2023,38,0.03,298.469
B2B000063,D0041,P0018,28-05-2024,63,0.07,248.4309
B2B000064,D0078,P0007,12-02-2024,53,0.09,34.9986
B2B000065,D0004,P0046,22-12-2023,43,0.09,304.5224
B2B000066,D0084,P0011,19-05-2023,41,0.12,17.6792
B2B000067,D0076,P0039,02-06-2024,23,0.18,283.1214
B2B000068,D0067,P0021,28-06-2023,93,0.18,254.0442
B2B000069,D0046,P0017,25-03-2024,16,0.03,154.3076
B2B000070,D0097,P0013,10-03-2023,38,0.04,401.184
B2B000071,D0007,P0014,09-01-2023,41,0.14,98.083
B2B000072,D0096,P0022,17-12-2023,39,0.09,71.2985
B2B000073,D0037,P0035,18-03-2024,32,0.03,468.6652
B2B000074,D0066,P0040,14-04-2023,51,0.14,194.0762
B2B000075,D0065,P0034,11-04-2024,85,0.04,455.952
B2B000076,D0045,P0042,18-09-2023,20,0.14,217.2704
B2B000077,D0015,P0014,24-08-2023,74,0.06,107.207
B2B000078,D0019,P0023,17-03-2023,21,0.07,142.4295
B2B000079,D0097,P0023,29-04-2023,11,0.09,139.3665
B2B000080,D0030,P0007,05-04-2023,93,0.05,36.537
B2B000081,D0071,P0044,26-02-2024,25,0.07,423.6801
B2B000082,D0004,P0011,13-09-2023,60,0.01,19.8891
B2B000083,D0040,P0021,05-07-2023,71,0.17,257.1423
B2B000084,D0091,P0039,16-01-2023,10,0.1,310.743
B2B000085,D0095,P0006,16-12-2023,89,0,86.44
